taxID	FSLB_count	GP143_count	GP157_count	GPR1_count	Galpha_count	Gbeta_count	Ggamma_count	Mth_count	Nematode_count	Olfactory_count	RBP1_count	STE2_count	STE3_count	TBP_count	Vomeronasal1_count	Vomeronasal2_count	cAMP_count	classA_count	classB1_count	classB2_count	classC_count	classF_count	classT_count
188344	0	1	1	0	12	2	8	0	0	26	1	0	0	2	0	0	0	138	10	11	9	5	0
188379	0	1	0	0	14	2	10	0	0	124	2	0	0	2	0	0	0	160	14	16	13	7	1
1884261	0	0	0	0	14	1	1	0	0	0	3	0	7	1	0	0	0	0	0	0	0	0	0
188477	0	0	1	0	7	2	3	18	0	0	1	0	0	2	0	0	1	384	16	13	13	5	0
1890364	0	0	0	2	8	2	1	0	0	0	4	0	0	4	0	0	4	0	0	0	0	0	0
189055	1	0	0	0	3	1	1	0	0	0	3	1	1	1	0	0	2	0	0	0	0	0	0
1890683	0	0	0	2	3	1	2	0	0	0	3	0	2	1	0	0	0	0	0	0	0	0	0
189291	0	0	0	0	12	2	5	0	12	0	3	0	0	3	0	0	0	96	3	0	4	2	0
1896178	5	0	0	0	8	2	3	0	0	0	3	0	0	1	0	0	0	0	0	0	5	0	0
1896180	5	0	0	0	8	2	2	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0
1896183	8	0	0	0	9	2	3	0	0	0	4	0	0	1	0	0	0	0	0	0	5	0	0
1896186	4	0	0	0	10	2	3	0	0	0	3	0	0	1	0	0	0	0	0	0	4	0	0
1896193	5	0	0	0	8	2	2	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0
189913	0	1	0	0	5	2	3	11	0	0	2	0	0	2	0	0	0	89	2	5	8	5	0
190295	0	1	1	0	13	4	11	0	0	20	2	0	0	3	0	0	0	238	17	14	16	11	2
1912936	0	0	0	0	11	1	2	0	0	0	5	0	4	1	0	0	0	0	0	0	0	0	0
1912939	0	0	0	0	11	1	2	0	0	0	5	0	13	1	0	0	0	0	0	0	0	0	0
191816	0	2	1	0	15	6	14	0	0	851	3	0	0	3	15	0	0	240	14	32	23	8	11
192012	0	0	0	0	1	3	2	0	0	0	10	0	0	5	0	0	0	0	0	0	0	0	0
192524	0	0	0	0	13	1	1	0	0	0	3	0	4	1	0	0	0	0	0	0	0	0	0
1929756	0	0	0	6	20	1	2	0	0	0	2	0	10	1	0	0	0	0	0	0	0	0	0
1932322	1	0	0	3	5	1	1	0	0	0	3	1	1	1	0	0	1	0	0	0	0	0	0
1938954	0	0	0	0	4	1	1	0	0	0	3	0	1	1	0	0	0	0	0	0	2	0	0
1940300	0	0	0	1	13	1	2	0	0	0	3	0	6	1	0	0	0	0	0	0	0	0	0
194338	0	1	1	0	15	5	10	0	0	37	2	0	0	3	0	0	0	246	16	19	17	8	2
195108	1	0	0	4	4	1	1	0	0	0	3	1	1	1	0	0	2	0	0	0	0	0	0
1954250	1	0	0	3	5	1	1	0	0	0	3	1	1	2	0	0	4	0	0	0	0	0	0
